,nombre_completo,categoria,precio
0,Afflelou MAGIC SOAN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
1,Afflelou ALBAN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
2,Afflelou MAGIC BLANCA,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
3,Afflelou MAGIC NELSON,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
4,Afflelou MAGIC DARCY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
5,Afflelou MAGIC FINN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
6,Afflelou MAGIC BABY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
7,Afflelou FLOOPY,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
8,Afflelou MILAN,GAFAS GRADUADAS, span span span span99€span span*span spanprecio webspan 
9,Afflelou RFOC1,GAFAS GRADUADAS, span span span span109€span 
10,Afflelou RFOJ1,GAFAS GRADUADAS, span span span span109€span span*span spanprecio webspan 
11,Afflelou RFOJ2,GAFAS GRADUADAS, span span span span109€span span*span spanprecio webspan 
12,Afflelou RFOJ3,GAFAS GRADUADAS, span span span span109€span span*span spanprecio webspan 
13,Afflelou RFOJ4,GAFAS GRADUADAS, span span span span109€span span*span spanprecio webspan 
14,Afflelou RFOJ5,GAFAS GRADUADAS, span span span span109€span span*span spanprecio webspan 
15,Afflelou MAGIC 46,GAFAS GRADUADAS, span span span span119€span span*span spanprecio webspan 
16,Afflelou MAGIC 47,GAFAS GRADUADAS, span span span span119€span span*span spanprecio webspan 
17,Afflelou MAGIC 48,GAFAS GRADUADAS, span span span span119€span span*span spanprecio webspan 
18,Afflelou MAGIC 49,GAFAS GRADUADAS, span span span span119€span span*span spanprecio webspan 
19,Afflelou MAGIC 50,GAFAS GRADUADAS, span span span span119€span span*span spanprecio webspan 
20,Afflelou MARS,GAFAS GRADUADAS, span span span span129€span 
21,Afflelou VENUS,GAFAS GRADUADAS, span span span span129€span 
22,Afflelou VIVALDI,GAFAS GRADUADAS, span span span span129€span 
23,Afflelou RAVEL,GAFAS GRADUADAS, span span span span129€span 
