,nombre_completo,categoria,producto,remplazo,precio
0,SCALPERS ROMA 03,Promociones/Ofertas montura + cristales,Scalpers,Ofertas montura + cristales,79
1,EXIT OU27 FP406/B,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
2,EXIT OU27 FP010M/A,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
3,EXIT OU27 FP476/C,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
4,EXIT OU27 FP020/A,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
5,EXIT OU030 FP522/A,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
6,EXIT OU030 FP476/A,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
7,EXIT OU27 FP474M/A,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
8,EXIT OU034 FP523M/B,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
9,EXIT OU034 FP515M,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
10,EXIT OU034 FP492M,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
11,EXIT OU034 FP010M,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
12,EXIT OU034 FP438M,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
13,EXIT OU030 FP010,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
14,EXIT OU030 FP489/C,Promociones/Ofertas montura + cristales,EXIT,Ofertas montura + cristales,32
15,CARRERA CA 8885 XW0,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
16,CARRERA CA 307 2M2,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,91.25
17,CARRERA CA 8886 OIT,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
18,POLAROID PLD 4143 S X PJP M9,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
19,TOMMY HILFIGER TH 2007 46C,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
20,TOMMY HILFIGER TH 1997 PJP ,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
21,POLAROID PLD 4145 S X 086 UC,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
22,CARRERA CA 2044T LHF,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
23,CARRERA CA 2044T O63,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
24,CARRERA CA 2045T 7ZJ,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
25,POLAROID D482 086,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
26,TOMMY HILFIGER TH 1999 79U ,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
27,POLAROID PLD D488 G,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
28,TOMMY HILFIGER TH 1998 003,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
29,POLAROID PLD D486 FLL,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,65.9
30,POLAROID PLD D484 MU1,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
31,POLAROID PLD 4145 S X PJP M9,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
32,POLAROID PLD D482 807,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
33,CARRERA CA 8886 R6S,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
34,POLAROID PLD D490 789,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
35,TOMMY HILFIGER TH 2007 WA6,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
