,nombre_completo,categoria,producto,remplazo,precio
0,POLAROID PLD D490 J5G ,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
1,POLAROID PLD D490 G DDB,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
2,POLAROID PLD 4144 S X 086 SP,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
3,TOMMYHILFIGER TH 2017 S 086 70,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
4,TOMMY HILFIGER TH 1997 003,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
5,CARRERA CA 2044T 10A,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
6,CARRERA CA 307 003,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
7,POLAROID PLD 4144 S X B3V KL,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
8,POLAROID PLD D488 09V,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
9,POLAROID PLD 4144 S X 807 M9,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
10,TOMMY HILFIGER TH 2007 086 ,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
11,CARRERA CA 307 LOJ,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
12,CARRERA CA 2045T PJP,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
13,TOMMY HILFIGER TH 1997 4WC,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,69
14,TOMMY HILFIGER TH 2007 807,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
15,POLAROID PLD 4145 S X 807 M9,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
16,TOMMYHILFIGER TH2017 S 807 IR,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
17,CARRERA CA 2045T 8LZ,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
18,TOMMY HILFIGER TH 2008 46C,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
19,TOMMY HILFIGER TH 1999 003,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
20,TOMMY HILFIGER TH 2008 WA6,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
21,POLAROID PLD 4143 S X 807 M9,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
22,TOMMY HILFIGER TH 2008 086,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
23,POLAROID PLD D485 G FLL,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
24,TOMMY HILFIGER TH 1981 FWM QT,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
25,CARRERA CA 8885 R6S,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
26,CARRERA CA 8886 PJP BLUE,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
27,CARRERA CA 2044T 807,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
28,POLAROID PLD D488 807,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
29,TOMMY HILFIGER TH 1999 PJP,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
30,TOMMY HILFIGER TH 1998 FLL,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
31,POLAROID PLD D490 010,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
32,TOMMY HILFIGER TH 1981 S 086 70,Promociones/Ofertas montura + cristales,Tommy Hilfiger,Ofertas montura + cristales,89
33,POLAROID PLD D484 086,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
34,POLAROID PLD D484 807,Promociones/Ofertas montura + cristales,Polaroid,Ofertas montura + cristales,69
35,CARRERA CA 8885 BLX,Promociones/Ofertas montura + cristales,Carrera,Ofertas montura + cristales,79
